Kinetic,Collision,Radiative,Total, D_Effect
3.700E-01, 2.291E+00, 4.667E-03, 2.296E+00, 0.000E+00
3.800E-01, 2.273E+00, 4.735E-03, 2.278E+00, 0.000E+00
3.900E-01, 2.256E+00, 4.803E-03, 2.261E+00, 0.000E+00
4.000E-01, 2.239E+00, 4.872E-03, 2.244E+00, 3.478E-03
4.100E-01, 2.223E+00, 4.942E-03, 2.228E+00, 8.490E-03
4.200E-01, 2.208E+00, 5.012E-03, 2.213E+00, 1.366E-02
4.300E-01, 2.194E+00, 5.083E-03, 2.199E+00, 1.897E-02
4.400E-01, 2.181E+00, 5.155E-03, 2.186E+00, 2.442E-02
4.500E-01, 2.168E+00, 5.227E-03, 2.173E+00, 3.000E-02
4.600E-01, 2.156E+00, 5.300E-03, 2.161E+00, 3.569E-02
4.700E-01, 2.144E+00, 5.374E-03, 2.150E+00, 4.151E-02
4.800E-01, 2.133E+00, 5.448E-03, 2.139E+00, 4.742E-02
4.900E-01, 2.123E+00, 5.523E-03, 2.128E+00, 5.344E-02
5.000E-01, 2.113E+00, 5.599E-03, 2.118E+00, 5.956E-02
5.100E-01, 2.103E+00, 5.675E-03, 2.109E+00, 6.576E-02
5.200E-01, 2.094E+00, 5.752E-03, 2.100E+00, 7.204E-02
5.300E-01, 2.085E+00, 5.829E-03, 2.091E+00, 7.840E-02
5.400E-01, 2.077E+00, 5.907E-03, 2.083E+00, 8.484E-02
5.500E-01, 2.069E+00, 5.985E-03, 2.075E+00, 9.134E-02
5.600E-01, 2.061E+00, 6.064E-03, 2.068E+00, 9.791E-02
5.700E-01, 2.054E+00, 6.144E-03, 2.060E+00, 1.045E-01
5.800E-01, 2.047E+00, 6.224E-03, 2.053E+00, 1.112E-01
5.900E-01, 2.041E+00, 6.304E-03, 2.047E+00, 1.180E-01
6.000E-01, 2.034E+00, 6.385E-03, 2.041E+00, 1.247E-01
6.100E-01, 2.028E+00, 6.466E-03, 2.035E+00, 1.316E-01
6.200E-01, 2.022E+00, 6.549E-03, 2.029E+00, 1.384E-01
6.300E-01, 2.017E+00, 6.631E-03, 2.023E+00, 1.454E-01
6.400E-01, 2.011E+00, 6.714E-03, 2.018E+00, 1.523E-01
6.500E-01, 2.006E+00, 6.798E-03, 2.013E+00, 1.593E-01
6.600E-01, 2.001E+00, 6.881E-03, 2.008E+00, 1.663E-01
6.700E-01, 1.996E+00, 6.966E-03, 2.003E+00, 1.733E-01
6.800E-01, 1.991E+00, 7.051E-03, 1.999E+00, 1.804E-01
6.900E-01, 1.987E+00, 7.136E-03, 1.994E+00, 1.875E-01
7.000E-01, 1.983E+00, 7.222E-03, 1.990E+00, 1.946E-01
7.100E-01, 1.979E+00, 7.308E-03, 1.986E+00, 2.017E-01
7.200E-01, 1.975E+00, 7.394E-03, 1.982E+00, 2.089E-01
