Kinetic,Collision,Radiative,Total, D_Effect
5.000E+01, 2.185E+00, 9.237E-01, 3.108E+00, 6.052E+00
6.000E+01, 2.201E+00, 1.129E+00, 3.331E+00, 6.407E+00
7.000E+01, 2.215E+00, 1.337E+00, 3.552E+00, 6.710E+00
8.000E+01, 2.227E+00, 1.546E+00, 3.773E+00, 6.972E+00
9.000E+01, 2.237E+00, 1.757E+00, 3.994E+00, 7.205E+00
1.000E+02, 2.246E+00, 1.968E+00, 4.215E+00, 7.413E+00
1.500E+02, 2.282E+00, 3.037E+00, 5.319E+00, 8.218E+00
2.000E+02, 2.307E+00, 4.119E+00, 6.426E+00, 8.791E+00
2.500E+02, 2.326E+00, 5.209E+00, 7.535E+00, 9.235E+00
3.000E+02, 2.342E+00, 6.304E+00, 8.646E+00, 9.599E+00
3.500E+02, 2.356E+00, 7.403E+00, 9.759E+00, 9.907E+00
4.000E+02, 2.367E+00, 8.506E+00, 1.087E+01, 1.017E+01
4.500E+02, 2.377E+00, 9.611E+00, 1.199E+01, 1.041E+01
5.000E+02, 2.387E+00, 1.072E+01, 1.310E+01, 1.062E+01
6.000E+02, 2.402E+00, 1.294E+01, 1.534E+01, 1.098E+01
7.000E+02, 2.416E+00, 1.516E+01, 1.757E+01, 1.129E+01
8.000E+02, 2.427E+00, 1.739E+01, 1.981E+01, 1.156E+01
9.000E+02, 2.437E+00, 1.961E+01, 2.205E+01, 1.179E+01
1.000E+03, 2.447E+00, 2.185E+01, 2.429E+01, 1.200E+01
1.500E+03, 2.482E+00, 3.303E+01, 3.551E+01, 1.281E+01
2.000E+03, 2.506E+00, 4.424E+01, 4.675E+01, 1.339E+01
2.500E+03, 2.526E+00, 5.547E+01, 5.799E+01, 1.384E+01
3.000E+03, 2.542E+00, 6.670E+01, 6.924E+01, 1.420E+01
3.500E+03, 2.555E+00, 7.794E+01, 8.050E+01, 1.451E+01
4.000E+03, 2.566E+00, 8.919E+01, 9.175E+01, 1.478E+01
4.500E+03, 2.577E+00, 1.004E+02, 1.030E+02, 1.501E+01
5.000E+03, 2.586E+00, 1.117E+02, 1.143E+02, 1.522E+01
6.000E+03, 2.601E+00, 1.342E+02, 1.368E+02, 1.559E+01
7.000E+03, 2.615E+00, 1.567E+02, 1.593E+02, 1.589E+01
8.000E+03, 2.626E+00, 1.793E+02, 1.819E+02, 1.616E+01
9.000E+03, 2.636E+00, 2.018E+02, 2.044E+02, 1.640E+01
1.000E+04, 2.646E+00, 2.243E+02, 2.270E+02, 1.661E+01
