,all,scint,cov,energy
0,0.017752965335592934,0.015074386946321388,0.007324909991884678,1.012956350256053
1,0.014439907194297191,0.010656076668697402,0.007743889156105891,2.066236379445404
2,0.012756692294969596,0.008719819127258091,0.007350152231071352,3.1224898738516425
3,0.011549159880183098,0.007576070177140679,0.006999867568851006,4.1779612778473565
4,0.010559532525091519,0.006785605150935308,0.006534619701538609,5.23493808797114
5,0.010005256053048967,0.00625501660892258,0.006255938611329278,6.289552424058854
6,0.009414833524024504,0.0058142485350522665,0.0059459513560055875,7.343970392704438
7,0.008954047636602484,0.005448372263798887,0.005693119814640641,8.39996865616405
8,0.008625201558375865,0.005162209272295213,0.005475208017283371,9.455255174927226
9,0.008258549058976371,0.004927187892550074,0.00528391636534158,10.5094356502151
10,0.0079110924451108,0.004710634430357229,0.005079527284854656,11.563845334541774
11,0.007587397842321498,0.0045399492159297885,0.004901401759147883,12.619708484599256
12,0.007410278220760534,0.004352555256997887,0.004800386028898354,13.672013915286128
